
=== PHANGS STAT check started 2026-07-29T11:34:36 ===
cube_dir=/scratch/pawsey1308/mauve/cubes/v3tk workers=128 galaxies=NGC4254 NGC4321 NGC4535
[NGC4254] cube=/scratch/pawsey1308/mauve/cubes/v3tk/NGC4254_PHANGS_DATACUBE_native.fits
[NGC4254] STAT shape=(3761, 1190, 1012) spectral_fillable_gaps=1987 spatial_fillable_voxels=2035
NGC4254 (x,y)=(705,53) z=1257:1260 wave=6271.25:6275.00 length=4 reason=bounded_by_positive_values
NGC4254 (x,y)=(703,54) z=1257:1260 wave=6271.25:6275.00 length=4 reason=bounded_by_positive_values
NGC4254 (x,y)=(704,54) z=1257:1257 wave=6271.25:6271.25 length=1 reason=bounded_by_positive_values
NGC4254 (x,y)=(704,54) z=1259:1260 wave=6273.75:6275.00 length=2 reason=bounded_by_positive_values
NGC4254 (x,y)=(705,54) z=1257:1260 wave=6271.25:6275.00 length=4 reason=bounded_by_positive_values
NGC4254 (x,y)=(703,55) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(704,55) z=1258:1259 wave=6272.50:6273.75 length=2 reason=bounded_by_positive_values
NGC4254 (x,y)=(705,55) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(703,56) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(704,56) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(705,56) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(703,57) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(704,57) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(705,57) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(703,58) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(704,58) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(705,58) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(703,59) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(704,59) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(705,59) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(703,60) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(704,60) z=1258:1259 wave=6272.50:6273.75 length=2 reason=bounded_by_positive_values
NGC4254 (x,y)=(705,60) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(703,61) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(704,61) z=1258:1259 wave=6272.50:6273.75 length=2 reason=bounded_by_positive_values
NGC4254 (x,y)=(705,61) z=1257:1258 wave=6271.25:6272.50 length=2 reason=bounded_by_positive_values
NGC4254 (x,y)=(703,62) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(704,62) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(705,62) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(703,63) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(704,63) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(705,63) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(703,64) z=1258:1258 wave=6272.50:6272.50 length=1 reason=bounded_by_positive_values
NGC4254 (x,y)=(704,64) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(705,64) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(703,65) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(704,65) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(705,65) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(703,66) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(704,66) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(705,66) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(703,67) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(704,67) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(705,67) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(703,68) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(704,68) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(705,68) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(703,78) z=1258:1260 wave=6272.50:6275.00 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(704,78) z=1258:1260 wave=6272.50:6275.00 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(705,78) z=1258:1260 wave=6272.50:6275.00 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(703,79) z=1257:1260 wave=6271.25:6275.00 length=4 reason=bounded_by_positive_values
NGC4254 (x,y)=(704,79) z=1258:1260 wave=6272.50:6275.00 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(705,79) z=1257:1260 wave=6271.25:6275.00 length=4 reason=bounded_by_positive_values
NGC4254 (x,y)=(703,80) z=1257:1260 wave=6271.25:6275.00 length=4 reason=bounded_by_positive_values
NGC4254 (x,y)=(704,80) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(705,80) z=1257:1260 wave=6271.25:6275.00 length=4 reason=bounded_by_positive_values
NGC4254 (x,y)=(703,81) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(704,81) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(705,81) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(703,82) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(704,82) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(705,82) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(703,83) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(704,83) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(705,83) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(703,84) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(704,84) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(705,84) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(703,85) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(704,85) z=1257:1257 wave=6271.25:6271.25 length=1 reason=bounded_by_positive_values
NGC4254 (x,y)=(704,85) z=1259:1259 wave=6273.75:6273.75 length=1 reason=bounded_by_positive_values
NGC4254 (x,y)=(705,85) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(703,86) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(704,86) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(705,86) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(703,87) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(704,87) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(705,87) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(703,88) z=1258:1259 wave=6272.50:6273.75 length=2 reason=bounded_by_positive_values
NGC4254 (x,y)=(704,88) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(705,88) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(703,89) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(704,89) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(705,89) z=1257:1257 wave=6271.25:6271.25 length=1 reason=bounded_by_positive_values
NGC4254 (x,y)=(423,228) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(424,228) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(425,228) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(423,229) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(424,229) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(425,229) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(423,230) z=1258:1259 wave=6272.50:6273.75 length=2 reason=bounded_by_positive_values
NGC4254 (x,y)=(424,230) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(425,230) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(423,231) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(424,231) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(425,231) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(423,232) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(424,232) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(425,232) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(423,233) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(424,233) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(425,233) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(423,234) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(424,234) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(425,234) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(423,235) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(424,235) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(425,235) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(423,236) z=1257:1260 wave=6271.25:6275.00 length=4 reason=bounded_by_positive_values
NGC4254 (x,y)=(424,236) z=1257:1260 wave=6271.25:6275.00 length=4 reason=bounded_by_positive_values
NGC4254 (x,y)=(425,236) z=1257:1260 wave=6271.25:6275.00 length=4 reason=bounded_by_positive_values
