User: rhuang
Most recent finished jobs: all
Start time filter: now-7weeks

JobID      JobName                  State      End                 ReqCPU  Alloc   EffCores  EffReq(%) EffAlloc(%) ReqMem    AveRSS    MaxRSS    Mem(%)  
---------- ------------------------ ---------- ------------------- ------- ------- --------- --------- ---------- --------- --------- --------- --------
43057899   NGC4189_v3tk_v7.6.8      COMPLETED  22 May 18:35        128     256     44.55     34.81%    17.40%     220GiB    58.9GiB   118GiB    53.56%  
43057898   NGC4064_v3tk_v7.6.8      COMPLETED  23 May 08:45        128     256     17.46     13.64%    6.82%      220GiB    81.7GiB   163GiB    74.24%  
43057897   IC3392_v3tk_v7.6.8       COMPLETED  22 May 17:34        128     256     33.57     26.23%    13.11%     220GiB    56.6GiB   113GiB    51.46%  
42914336   NGC4419_v3tk_v7.6.8_VELSCALE40_use COMPLETED  19 May 00:38        128     256     121.80    95.15%    47.58%     220GiB    44.4GiB   88.8GiB   40.36%  
42914332   NGC4383_v3tk_v7.6.8_VELSCALE40_use COMPLETED  18 May 22:50        128     256     118.73    92.76%    46.38%     220GiB    29.2GiB   58.4GiB   26.54%  
42911292   NGC4419_v3tk_v7.6.8_VELSCALE40_use CANCELLED  18 May 21:22        128     256     30.07     23.49%    11.75%     220GiB    85.3GiB   171GiB    77.53%  
42911289   NGC4383_v3tk_v7.6.8_VELSCALE40_use CANCELLED  18 May 21:22        128     256     17.92     14.00%    7.00%      220GiB    87.6GiB   175GiB    79.61%  
42904760   NGC4419_v3tk_v7.6.8_VELSCALE40_use CANCELLED  18 May 19:14        128     256     40.84     31.91%    15.95%     220GiB    84.2GiB   168GiB    76.51%  
42904756   NGC4383_v3tk_v7.6.8_VELSCALE40_use CANCELLED  18 May 19:14        128     256     27.50     21.49%    10.74%     220GiB    74.9GiB   150GiB    68.12%  
42904746   NGC4419_v3tk_v7.6.8_7000_samebinning COMPLETED  18 May 18:27        128     256     75.84     59.25%    29.62%     220GiB    31.2GiB   62.4GiB   28.37%  
42904745   NGC4383_v3tk_v7.6.8_7000_samebinning COMPLETED  18 May 18:08        128     256     58.65     45.82%    22.91%     220GiB    19.2GiB   38.4GiB   17.46%  
42893224   IC3392_v3tk_v7.6.8_VELSCALE40_use COMPLETED  18 May 11:45        128     256     102.46    80.05%    40.02%     220GiB    33.6GiB   67.1GiB   30.49%  
42893215   IC3392_v3tk_v7.6.8_7000_samebinning COMPLETED  18 May 11:09        128     256     114.59    89.52%    44.76%     220GiB    14.4GiB   28.8GiB   13.11%  
42870395   IC3392_v3tk_v7.6.8_VELSCALE40_use_red COMPLETED  17 May 13:36        128     256     85.51     66.80%    33.40%     220GiB    12.8GiB   25.6GiB   11.62%  
42831302   IC3392_v3tk_v7.6.8_VELSCALE40_onlySIII9068 COMPLETED  15 May 16:15        128     256     57.75     45.12%    22.56%     220GiB    38.6GiB   77.2GiB   35.11%  
42830864   IC3392_v3tk_v7.6.8_VELSCALE40_onlySIII9068 COMPLETED  15 May 15:49        128     256     2.60      2.03%     1.01%      220GiB    12.8GiB   25.5GiB   11.60%  
42826096   IC3392_v3tk_v7.6.8_VELSCALE40_use_SIII6312 COMPLETED  15 May 14:07        128     256     76.18     59.52%    29.76%     220GiB    12.8GiB   25.6GiB   11.62%  
42822940   IC3392_v3tk_v7.6.8_VELSCALE40_use_SIII9068 COMPLETED  15 May 12:08        128     256     56.36     44.03%    22.01%     220GiB    22.6GiB   45.1GiB   20.51%  
42822922   IC3392_v3tk_v7.6.8_VELSCALE40_use_v COMPLETED  15 May 12:05        128     256     1.68      1.31%     0.66%      220GiB    18.1GiB   36.1GiB   16.41%  
42822917   IC3392_v3tk_v7.6.8_VELSCALE40_use COMPLETED  15 May 12:16        128     256     26.02     20.33%    10.16%     220GiB    13.3GiB   40.0GiB   18.16%  
42822915   IC3392_v3tk_v7.6.8_VELSCALE40_use_trick COMPLETED  15 May 12:18        128     256     22.07     17.24%    8.62%      220GiB    17.6GiB   35.2GiB   16.02%  
42822914   IC3392_v3tk_v7.6.8_VELSCALE40_use_ArIII_noSIII COMPLETED  15 May 12:06        128     256     75.64     59.09%    29.55%     220GiB    12.8GiB   25.5GiB   11.60%  
42822871   IC3392_v3tk_v7.6.8_VELSCALE40_use_ArIII_noSIII CANCELLED  15 May 12:01        128     256     1.59      1.24%     0.62%      220GiB    12.8GiB   25.6GiB   11.62%  
42788082   IC3392_v3tk_v7.6.8_VELSCALE40_use_trick COMPLETED  14 May 18:47        128     256     75.18     58.73%    29.37%     220GiB    12.8GiB   25.6GiB   11.62%  
42785705   IC3392_v3tk_v7.6.8_VELSCALE40_use COMPLETED  14 May 17:49        128     256     64.43     50.34%    25.17%     220GiB    31.8GiB   63.6GiB   28.90%  
42785704   IC3392_v3tk_v7.6.8_VELSCALE40_use_ArIII_noSIII COMPLETED  14 May 17:48        128     256     52.77     41.23%    20.61%     220GiB    21.7GiB   64.9GiB   29.51%  
42772519   IC3392_v3tk_v7.6.8_VELSCALE40_use_ArIII_noSIII COMPLETED  14 May 13:57        128     256     79.27     61.93%    30.96%     220GiB    12.8GiB   25.6GiB   11.62%  
42758525   IC3392_v3tk_v7.6.8_VELSCALE40_use_v COMPLETED  14 May 11:02        128     256     2.68      2.09%     1.05%      220GiB    12.8GiB   25.5GiB   11.60%  
42758423   IC3392_v3tk_v7.6.8_VELSCALE40_use_v COMPLETED  14 May 10:54        128     256     77.14     60.27%    30.13%     220GiB    12.8GiB   25.6GiB   11.63%  
42736827   IC3392_v3tk_v7.6.8_VELSCALE40_use COMPLETED  13 May 22:04        128     256     84.96     66.38%    33.19%     220GiB    12.8GiB   25.5GiB   11.60%  
42693323   IC3392_v3tk_v7.6.8_VELSCALE40_free COMPLETED  13 May 11:33        128     256     2.54      1.99%     0.99%      220GiB    12.8GiB   25.6GiB   11.62%  
42693103   IC3392_v3tk_v7.6.8_VELSCALE40_free COMPLETED  13 May 11:27        128     256     2.68      2.09%     1.05%      220GiB    12.8GiB   25.5GiB   11.60%  
42692992   IC3392_v3tk_v7.6.8_VELSCALE40_free COMPLETED  13 May 11:24        128     256     2.62      2.05%     1.02%      220GiB    12.8GiB   25.6GiB   11.63%  
42692649   IC3392_v3tk_v7.6.8_VELSCALE40_free COMPLETED  13 May 11:21        128     256     81.40     63.60%    31.80%     220GiB    12.8GiB   25.6GiB   11.63%  
42692590   IC3392_v3tk_v7.6.8_VELSCALE40_free COMPLETED  13 May 11:15        128     256     0.78      0.61%     0.30%      220GiB    12.8GiB   25.6GiB   11.62%  
42658405   IC3392_v3tk_v7.6.8_VELSCALE40_free COMPLETED  12 May 19:08        128     256     80.76     63.09%    31.55%     220GiB    12.8GiB   25.6GiB   11.63%  
42658318   IC3392_v3tk_v7.6.8_VELSCALE40_free COMPLETED  12 May 19:00        128     256     2.63      2.05%     1.03%      220GiB    12.8GiB   25.6GiB   11.63%  
42658064   IC3392_v3tk_v7.6.8_VELSCALE40_free COMPLETED  12 May 18:54        128     256     2.63      2.05%     1.03%      220GiB    12.8GiB   25.6GiB   11.63%  
42658007   IC3392_v3tk_v7.6.8_VELSCALE40_free CANCELLED  12 May 18:49        128     256     1.33      1.04%     0.52%      220GiB    12.8GiB   25.6GiB   11.62%  
42572717   IC3392_v3tk_v7.6.8_VELSCALE40_uptoSII COMPLETED  11 May 16:23        128     256     79.78     62.33%    31.16%     220GiB    12.8GiB   25.6GiB   11.62%  
42511668   IC3392_v3tk_v7.6.8_7000_samebinning COMPLETED  9 May 16:18         128     256     44.10     34.46%    17.23%     220GiB    8.32GiB   16.6GiB   7.55%   
42511611   IC3392_v3tk_v7.6.8_7000_samebinning COMPLETED  9 May 16:06         128     256     0.74      0.58%     0.29%      220GiB    8.50GiB   17.0GiB   7.72%   
42371370   IC3392_v3tk_v7.6.8_VELSCALE20 CANCELLED  6 May 20:24         128     256     105.52    82.44%    41.22%     220GiB    34.6GiB   69.2GiB   31.46%  
42371361   IC3392_v3tk_v7.6.8_VELSCALE20 FAILED     6 May 19:30         128     256     0.27      0.21%     0.10%      220GiB    252MiB    482MiB    0.21%   
42371359   IC3392_v3tk_v7.6.8_VELSCALE20 FAILED     6 May 19:29         128     256     0.25      0.20%     0.10%      220GiB    284MiB    545MiB    0.24%   
42346065   IC3392_v3tk_v7.6.8_VELSCALE40 CANCELLED  6 May 15:18         128     256     33.01     25.79%    12.89%     220GiB    58.2GiB   116GiB    52.93%  
42279724   IC3392_v3tk_v7.6.8       COMPLETED  5 May 21:32         128     256     43.01     33.60%    16.80%     220GiB    58.6GiB   117GiB    53.24%  
42274972   IC3392_v3tk_v7.6.8       COMPLETED  4 May 19:54         128     256     72.81     56.88%    28.44%     220GiB    61.6GiB   123GiB    55.96%  
42270695   IC3392_v3tk_v7.6.8       COMPLETED  4 May 15:01         128     256     79.78     62.33%    31.16%     220GiB    18.6GiB   37.2GiB   16.89%  
42270632   IC3392_v3tk_v7.6.8       COMPLETED  4 May 14:43         128     256     0.80      0.62%     0.31%      220GiB    8.47GiB   16.9GiB   7.69%   
42270380   IC3392_v3tk_v7.6.8       FAILED     4 May 14:38         128     256     0.24      0.18%     0.09%      220GiB    283MiB    544MiB    0.24%   
42269837   IC3392_v3tk_v7.6.8       CANCELLED  4 May 14:37         128     0       0.00      0.00%     0.00%      220GiB    N/A       N/A       N/A%    
